insee,nom,wikipedia,surf_ha,cx,cy
40277,Saint-Pandelon,fr:Saint-Pandelon,925,-1.0473750889610258,43.66778624292226
40294,Saugnac-et-Cambran,fr:Saugnac-et-Cambran,1330,-0.9950770846326116,43.66766895362922
40095,Estibeaux,fr:Estibeaux,1675,-0.9094987491707484,43.60799042099687
40199,Mouscardès,fr:Mouscardès,913,-0.8823711839092185,43.584407919910234
40183,Mimbaste,fr:Mimbaste,2071,-0.9668281273769306,43.6504245906026
40084,Clermont,fr:Clermont (Landes),1490,-0.9069687454793791,43.64625818643796
40216,Ozourt,fr:Ozourt,403,-0.875922168366657,43.66000416002405
40308,Sort-en-Chalosse,fr:Sort-en-Chalosse,1538,-0.9318070481127395,43.6780306870165
40106,Garrey,fr:Garrey,498,-0.8931329827016927,43.67207282359724
40334,Yzosse,fr:Yzosse,540,-1.015907741390863,43.716035719331764
40202,Narrosse,fr:Narrosse,1059,-1.0106869663452518,43.6938391105133
40063,Candresse,fr:Candresse,855,-0.9811149131120458,43.71156853058694
40126,Hinx,fr:Hinx (Landes),1478,-0.9383404139007605,43.70934705256699
40315,Téthieu,fr:Téthieu,1100,-0.9574483338445018,43.743841057699335
40113,Goos,fr:Goos,1054,-0.9163140684873038,43.72791889996344
40237,Préchacq-les-Bains,fr:Préchacq-les-Bains,869,-0.9179744240132599,43.756177879207186
40159,Louer,fr:Louer,283,-0.8911793671754148,43.758914178381204
40228,Pomarez,fr:Pomarez,3079,-0.838387754383067,43.62182095709048
40071,Castelnau-Chalosse,fr:Castelnau-Chalosse,1064,-0.8518318425885971,43.65935361575462
40090,Donzacq,fr:Donzacq,1176,-0.807213793071502,43.66092575093694
40112,Gibret,fr:Gibret,258,-0.8260855607616898,43.683271903427126
40074,Castel-Sarrazin,fr:Castel-Sarrazin,1211,-0.7835300751025159,43.61891152954556
40028,Bastennes,fr:Bastennes,729,-0.777385984250941,43.650879750222686
40109,Gaujacq,fr:Gaujacq,1617,-0.738626574380033,43.64005319501526
40038,Bergouey,fr:Bergouey,441,-0.7216356953131313,43.668684675914335
40236,Poyartin,fr:Poyartin,1306,-0.8689020893790866,43.687350047912254
40194,Montfort-en-Chalosse,fr:Montfort-en-Chalosse,1156,-0.8419970721714527,43.70672389599547
40023,Baigts,fr:Baigts,1168,-0.7955110279952468,43.68605995493613
40205,Nousse,fr:Nousse,385,-0.8247732113631417,43.722318317656025
40104,Gamarde-les-Bains,fr:Gamarde-les-Bains,1896,-0.8696537365546758,43.72758382630869
40068,Cassen,fr:Cassen (Landes),594,-0.8667902528013929,43.758429477732555
40260,Saint-Geours-d'Auribat,fr:Saint-Geours-d'Auribat,556,-0.8423505255592926,43.754476053327046
40160,Lourquen,fr:Lourquen,590,-0.7930480931054712,43.731630143737604
40235,Poyanne,fr:Poyanne,1082,-0.8153731324358573,43.75431869681181
40078,Caupenne,fr:Caupenne,1518,-0.7499374282237996,43.676561967404794
40141,Lahosse,fr:Lahosse,807,-0.7884136351827261,43.71128768147743
40177,Maylis,fr:Maylis (Landes),1228,-0.6997449131598008,43.69239686640928
40144,Larbey,fr:Larbey,604,-0.7334433373279136,43.70281523005056
40249,Saint-Aubin,fr:Saint-Aubin (Landes),967,-0.715420804212421,43.7192978949453
40201,Mugron,fr:Mugron,1647,-0.7552273850350694,43.74287643992345
40147,Laurède,fr:Laurède,569,-0.7889222614176181,43.75731966231611
40204,Nerbis,fr:Nerbis,416,-0.7264751896546664,43.751920531596234
40114,Gourbera,fr:Gourbera,2778,-1.0511258326132282,43.80834010308638
40283,Saint-Vincent-de-Paul,fr:Saint-Vincent-de-Paul (Landes),3246,-1.005151726333375,43.76687972668642
40230,Pontonx-sur-l'Adour,fr:Pontonx-sur-l'Adour,4928,-0.9505310040936019,43.796226915676996
40115,Gousse,fr:Gousse (Landes),411,-0.9166081518722502,43.77766202674654
40263,Saint-Jean-de-Lier,fr:Saint-Jean-de-Lier,811,-0.8800321901644619,43.78440332151936
40324,Vicq-d'Auribat,fr:Vicq-d'Auribat,417,-0.8572361450584477,43.783680235876965
40208,Onard,fr:Onard,607,-0.8316012751517603,43.77957757874757
40018,Audon,fr:Audon,764,-0.8222110357313742,43.80057047391947
40031,Bégaar,fr:Bégaar,2769,-0.8522522036290457,43.82587284052539
40116,Gouts,fr:Gouts,1094,-0.7703589699446232,43.777799990376316
40309,Souprosse,fr:Souprosse,4246,-0.7220348331832965,43.78755619148174
40313,Tartas,fr:Tartas,3049,-0.7776944452168078,43.816839503840555
40066,Carcarès-Sainte-Croix,fr:Carcarès-Sainte-Croix,1555,-0.7552269369876945,43.855301568446386
40285,Saint-Yaguen,fr:Saint-Yaguen,3792,-0.7409474425782406,43.90204595189796
40322,Uza,fr:Uza,1292,-1.1989557999710823,44.033241605225264
40154,Lévignacq,fr:Lévignacq,4262,-1.1536476201240073,44.01038883435595
40182,Mézos,fr:Mézos,8907,-1.1450030831242015,44.0956253780099
40043,Bias,fr:Bias (Landes),2093,-1.2282886696355253,44.137951432135765
40278,Saint-Paul-en-Born,fr:Saint-Paul-en-Born,4343,-1.1495127848796751,44.19392316113219
40019,Aureilhan,fr:Aureilhan (Landes),1162,-1.189085174374013,44.21359441311955
40009,Arjuzanx,fr:Arjuzanx,2926,-0.8442773336031739,44.01385215473167
40215,Ousse-Suzan,fr:Ousse-Suzan,2463,-0.7567670512176745,43.950601036632115
40203,Nassiet,fr:Nassiet,1184,-0.6898516193146452,43.60061479018778
40054,Brassempouy,fr:Brassempouy,1079,-0.7015587391193561,43.629135268175645
40079,Cazalis,fr:Cazalis (Landes),515,-0.6663123260535769,43.62762496482057
40188,Momuy,fr:Momuy,1341,-0.6367287981559184,43.614722996353365
40253,Saint-Cricq-Chalosse,fr:Saint-Cricq-Chalosse,2039,-0.6829116046262625,43.6550829495727
40299,Serreslous-et-Arribans,fr:Serreslous-et-Arribans,547,-0.6412022988420366,43.662587119886666
